 "experiment" , "experimentStep" , "experimentInput" , "experimentInputType" , "experimentInputName" , "experimentOutput" , "experimentOutputType" , "experimentOutputName" ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#SubExperiment_idr0032_1" ,  ,  ,  , "https://w3id.org/reproduceme#Assay_idr0032_1" , "https://w3id.org/reproduceme#Assay" , "idr0032-experimentA-assay.txt" ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" , "https://w3id.org/reproduceme#Organism_idr0032" , "https://w3id.org/reproduceme#Organism" , "Arabidopsis thaliana" ,  ,  ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126217" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126533" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126118" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126207" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126541" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126443" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126395" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125892" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Phenotype_idr0032_1_2" , "https://w3id.org/reproduceme#Phenotype" , "gene expressed in primorida of shoot apical meristem" ,
