 "experiment" , "image" , "image_url" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_399339" , "http://idr.openmicroscopy.org/webclient/?show=image-399339" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_273180" , "http://idr.openmicroscopy.org/webclient/?show=image-273180" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_179741" , "http://idr.openmicroscopy.org/webclient/?show=image-179741" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_273150" , "http://idr.openmicroscopy.org/webclient/?show=image-273150" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_295937" , "http://idr.openmicroscopy.org/webclient/?show=image-295937" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_315006" , "http://idr.openmicroscopy.org/webclient/?show=image-315006" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_295859" , "http://idr.openmicroscopy.org/webclient/?show=image-295859" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_314946" , "http://idr.openmicroscopy.org/webclient/?show=image-314946" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_179732" , "http://idr.openmicroscopy.org/webclient/?show=image-179732" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_368904" , "http://idr.openmicroscopy.org/webclient/?show=image-368904" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_223943" , "http://idr.openmicroscopy.org/webclient/?show=image-223943" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_341933" , "http://idr.openmicroscopy.org/webclient/?show=image-341933" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_1938563" , "http://idr.openmicroscopy.org/webclient/?show=image-1938563" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_250122" , "http://idr.openmicroscopy.org/webclient/?show=image-250122" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_273223" , "http://idr.openmicroscopy.org/webclient/?show=image-273223" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_179700" , "http://idr.openmicroscopy.org/webclient/?show=image-179700" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_295882" , "http://idr.openmicroscopy.org/webclient/?show=image-295882" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_295886" , "http://idr.openmicroscopy.org/webclient/?show=image-295886" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_273217" , "http://idr.openmicroscopy.org/webclient/?show=image-273217" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_223991" , "http://idr.openmicroscopy.org/webclient/?show=image-223991" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_273204" , "http://idr.openmicroscopy.org/webclient/?show=image-273204" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_250178" , "http://idr.openmicroscopy.org/webclient/?show=image-250178" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_223983" , "http://idr.openmicroscopy.org/webclient/?show=image-223983" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_273226" , "http://idr.openmicroscopy.org/webclient/?show=image-273226" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_250169" , "http://idr.openmicroscopy.org/webclient/?show=image-250169" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_368917" , "http://idr.openmicroscopy.org/webclient/?show=image-368917" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_295855" , "http://idr.openmicroscopy.org/webclient/?show=image-295855" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_273151" , "http://idr.openmicroscopy.org/webclient/?show=image-273151" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_179762" , "http://idr.openmicroscopy.org/webclient/?show=image-179762" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_179775" , "http://idr.openmicroscopy.org/webclient/?show=image-179775" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_295894" , "http://idr.openmicroscopy.org/webclient/?show=image-295894" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_250094" , "http://idr.openmicroscopy.org/webclient/?show=image-250094" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_314982" , "http://idr.openmicroscopy.org/webclient/?show=image-314982" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_250174" , "http://idr.openmicroscopy.org/webclient/?show=image-250174" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_179706" , "http://idr.openmicroscopy.org/webclient/?show=image-179706" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_273214" , "http://idr.openmicroscopy.org/webclient/?show=image-273214" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_1938621" , "http://idr.openmicroscopy.org/webclient/?show=image-1938621" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_314995" , "http://idr.openmicroscopy.org/webclient/?show=image-314995" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_314951" , "http://idr.openmicroscopy.org/webclient/?show=image-314951" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_314973" , "http://idr.openmicroscopy.org/webclient/?show=image-314973" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_1938607" , "http://idr.openmicroscopy.org/webclient/?show=image-1938607" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_295891" , "http://idr.openmicroscopy.org/webclient/?show=image-295891" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_368913" , "http://idr.openmicroscopy.org/webclient/?show=image-368913" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_450707" , "http://idr.openmicroscopy.org/webclient/?show=image-450707" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_223934" , "http://idr.openmicroscopy.org/webclient/?show=image-223934" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_314989" , "http://idr.openmicroscopy.org/webclient/?show=image-314989" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_223948" , "http://idr.openmicroscopy.org/webclient/?show=image-223948" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_427044" , "http://idr.openmicroscopy.org/webclient/?show=image-427044" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_273203" , "http://idr.openmicroscopy.org/webclient/?show=image-273203" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_179715" , "http://idr.openmicroscopy.org/webclient/?show=image-179715" ,
