 "experiment" , "agent" , "agentName" , "role" , "material" ,
 "https://w3id.org/reproduceme#Experiment_idr0020" , "https://w3id.org/reproduceme#Agent_idr0020_1" , "Alexis" , "submitter" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Agent_idr0002_1" , "Jean-Karim" , "submitter" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#Agent_idr0032_1" , "Raymond" , "submitter" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0038" , "https://w3id.org/reproduceme#Agent_idr0038" , "University of Dundee" , "Data Publisher" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0038" , "https://w3id.org/reproduceme#Agent_idr0038_2" , "Raphael" , "Principal Investigator" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0038" , "https://w3id.org/reproduceme#Agent_idr0038_1" , "Marie" , "submitter" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0020" , "https://w3id.org/reproduceme#Agent_idr0020Library_1" , "Custom library (gift from Spiros Linardopoulos (Institute of Cancer Research, London, UK)  in which each gene is targeted by a Dharmacon OnTargetPlus (OTP) pool of four siRNAs." , "Manufacturer" , "https://w3id.org/reproduceme#Library_idr0020_1" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Agent_idr0002Library_1" , "Ambion" , "Manufacturer" , "https://w3id.org/reproduceme#Library_idr0002_1" ,
 "https://w3id.org/reproduceme#Experiment_idr0020" , "Barr AR, Bakal C" ,  ,  , "https://w3id.org/reproduceme#Publication_idr0020" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , ""Heriche JK, Lees JG, Morilla I, Walter T, Petrova B, Roberti MJ, Hossain MJ, Adler P, Fernandez JM, Krallinger M, Haering CH, Vilo J, Valencia A, Ranea JA, Orengo C, Ellenberg J."" ,  ,  , "https://w3id.org/reproduceme#Publication_idr0002" ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "Yang W, Schuster C, Beahan CT, Charoensawan V, Peaucelle A, Bacic A, Doblin MS, Wightman R, Meyerowitz EM" ,  ,  , "https://w3id.org/reproduceme#Publication_idr0032" ,
 "https://w3id.org/reproduceme#Experiment_idr0038" , "Marie Held, Ilaria Santeramo, Bettina Wilm, Patricia Murray, Raphael Levy" ,  ,  , "https://w3id.org/reproduceme#Publication_idr0038" ,
